,index,X,Y,subreg,hostility_d,victim_d,description,hostilitytype_l,victim_l,navarea,year,month,day
0,0,-75.1333332999845,21.9333333003936,26,cuban gunboat,belesbat queen,a cuban gunboat commandeered luxury yacht belesbat queen (145 feet)    14 miles north of cuba on 13 june 1990.  the cuban gunboat             fired shots across the yacht's bow several times.  cuban               authorities held the yacht the master and crew of 10 in the port       of vita for 5 days before releasing the yacht and crew.  the           yacht was in an international shipping lane known as the               old bahama channel when she was intercepted.,navel_engagement,vessel,iv,1990,06,03
1,1,108.00000000024099,3.00000000044236,71,pirates,ro/ro sea dragon,"20 march 1990. borneo.                                                                                                                        pirates held the master of the sea dragon before robbing               him of us$ 7,000 and valuables.  the incident occurred 24 miles        south-east of midai island off borneo.",pirate_assaults,cargo_ship,xi,1990,03,20
2,2,89.99999999965858,-0.99999999968702,61,pirates,ro/ro sunrise,20 march 1990. singapore.                                                                                                                     four men with knives boarded the sunrise on 20 march 1990 near         horsburgh lighthouse.  the pirates tied up the master in his cabin     and escaped with cash and valuables.,pirate_assaults,cargo_ship,viii,1990,03,20
3,3,41.999999999905,13.999999999898801,62,peoples democratic republic of yemen,u.s. mariners,"red sea, yemen                                                                                                                                1. mariners are advised that caution should be observed in entering       the twelve nautical mile territorial sea claimed by the peoples        democratic republic of yemen (pdry). the united states does not        enjoy diplomatic relations with the pdyr and there have been           previous incidents of attack on american ships.                     2. the publication of this notice is solely for the purpose of            advising united states mariners of information relevant to             navigational safety and in no way constitutes a legal                  recognition by the united states of the validity of any foreign        rule, regulation, or proclamation so published.                                                                                            see special warning 76",navel_engagement,other,ix,1989,01,01
4,4,80.3000000003341,13.0999999995998,63,pirates,lash stonewall jackson,"indian ocean                                                                                                                                  on sept. 24th 1989 0200hrs. (local time) while approaching the pilot   station at madras, india, the vessel stonewall jackson was boarded     by thieves.                                                            the vessel slowed for pilot afterwhich it was boarded from a fishing   boat showing no lights. crew was held up at knife point. thieves       stole aluminum ladders only. no reported injuries.",pirate_assaults,vessel,viii,1989,09,23
5,5,-38.483334000225504,-12.783334000383599,24,pirates,chemical carrier:stolt eagle,"aratu, brazil  14 december 1989                                                                                                               while at anchor in the harbor of aratu, brazil, the stolt eagle        was boarded by (6) six pirates. the pirates were all dressed in        boiler suits and armed with machine guns, revolvers, and knives.       the master was forced to his cabin where at least $15,000 was          stolen along with other personal possessions. the master, chief        officer, and first assistant engineer were seriously injured. the      pirates left about 0240 (local time) and rowed away in a small         boat. efforts were made to contact police ashore to apprehend the      pirates but to no avail.",pirate_assaults,vessel,v,1989,12,14
6,6,45.000000000002004,10.500000000235199,62,mogadishu rebels,all shipping,"the somali national movement (snm) warns all shipping agencies     not to cooperate with the dying regime of mogadishu,because they       are not able to ensure the safety of ships and their crews against     any dangers that they may be exposed to.                                   for this reason on december 5, 1989, the snm coast guard           seized a ship flying a panamanian flag enroute to berbera,somalia.     this is a major port still in the hands of the loyalist troops of      the mogadishu regime. this is the third ship the snm has seized.",other,other,ix,1989,12,05
7,7,-80.00000000044321,9.999999999769392,26,pirate,container ship,"panama canal. 20 december 1989.                                                                                                               the motor container ship asian senator, liberian registry,             o.n. 8561, was boarded and taken over by seventeen pirates on 20       december 1989 while the ship was at pier 9, port colon, on the         caribbean side of the panama canal.                                                                                                           see special warning 74",pirate_assaults,cargo_ship,iv,1989,12,20
8,8,-80.9999999995762,-2.9999999997517097,22,pirates,s/s mallory lykes,"guayaquil equador.                                                                                                                            at 270015z dec 1989 during undocking at guayaquil, the channel         pilot noted pirates alongside starboard side stealing bags of          coffee into a small boat.  pilots radioed police but by the time       they responded the deck department had ran the pirates off.",pirate_assaults,vessel,xii,1989,06,27
9,9,124.23333330019501,8.233333300040501,92,pirates,m/v isla luzon,"phillipines.                                                           the m/v isla luzon was seized by 18 gunmen off of the southern port    city of iligan. three crewmen were taken hostage and 27 were set       adrift on a rubber raft  the isla luzon was bound for cebu island      with a cargo of steel at the time of seizure. two other vessels have   been hijacked in the past year in this area.                                                                                                  position given for reference only, not actuale location of incident.",pirate_assaults,merchant_vessel,xi,1989,07,01
