,join_key,math_benchmark_percent
20,"(1.0, 2020)",49.13663
21,"(1.0, 2021)",49.13663
22,"(8.0, 2000)",36.61129
23,"(8.0, 2001)",36.61129
24,"(8.0, 2002)",36.61129
25,"(8.0, 2003)",36.61129
26,"(8.0, 2004)",36.61129
27,"(8.0, 2005)",36.61129
28,"(8.0, 2006)",36.61129
29,"(8.0, 2007)",36.61129
30,"(8.0, 2008)",36.61129
31,"(8.0, 2009)",32.26541
32,"(8.0, 2010)",32.26541
33,"(8.0, 2011)",32.26541
34,"(8.0, 2012)",39.33503
35,"(8.0, 2013)",39.33503
36,"(8.0, 2014)",39.33503
37,"(8.0, 2015)",46.71703
38,"(8.0, 2016)",46.71703
39,"(8.0, 2017)",46.71703
40,"(8.0, 2018)",57.62715
41,"(8.0, 2019)",57.62715
42,"(8.0, 2020)",57.62715
43,"(8.0, 2021)",57.62715
64,"(9.0, 2020)",77.66784
65,"(9.0, 2021)",77.66784
81,"(12.0, 2015)",19.04324
82,"(12.0, 2016)",19.04324
83,"(12.0, 2017)",19.04324
84,"(12.0, 2018)",19.04324
85,"(12.0, 2019)",19.04324
86,"(12.0, 2020)",19.04324
87,"(12.0, 2021)",19.04324
94,"(31.0, 2006)",89.4645
95,"(31.0, 2007)",89.4645
96,"(31.0, 2008)",89.4645
97,"(31.0, 2009)",54.72519
98,"(31.0, 2010)",54.72519
99,"(31.0, 2011)",54.72519
100,"(31.0, 2012)",54.72519
101,"(31.0, 2013)",54.72519
102,"(31.0, 2014)",54.72519
103,"(31.0, 2015)",54.72519
104,"(31.0, 2016)",54.72519
105,"(31.0, 2017)",54.72519
106,"(31.0, 2018)",54.72519
107,"(31.0, 2019)",54.72519
108,"(31.0, 2020)",54.72519
109,"(31.0, 2021)",54.72519
110,"(32.0, 2000)",41.32499
111,"(32.0, 2001)",41.32499
112,"(32.0, 2002)",41.32499
113,"(32.0, 2003)",41.32499
114,"(32.0, 2004)",41.32499
115,"(32.0, 2005)",41.32499
116,"(32.0, 2006)",35.85652
117,"(32.0, 2007)",35.85652
118,"(32.0, 2008)",35.85652
119,"(32.0, 2009)",36.44542
120,"(32.0, 2010)",36.44542
121,"(32.0, 2011)",36.44542
122,"(32.0, 2012)",33.51507
123,"(32.0, 2013)",33.51507
124,"(32.0, 2014)",33.51507
125,"(32.0, 2015)",33.51507
126,"(32.0, 2016)",33.51507
127,"(32.0, 2017)",33.51507
128,"(32.0, 2018)",31.03288
129,"(32.0, 2019)",31.03288
130,"(32.0, 2020)",31.03288
131,"(32.0, 2021)",31.03288
132,"(36.0, 2000)",89.67318
133,"(36.0, 2001)",89.67318
134,"(36.0, 2002)",89.67318
135,"(36.0, 2003)",85.6574
136,"(36.0, 2004)",85.6574
137,"(36.0, 2005)",85.6574
138,"(36.0, 2006)",87.0328
139,"(36.0, 2007)",87.0328
140,"(36.0, 2008)",87.0328
141,"(36.0, 2009)",84.12645
142,"(36.0, 2010)",84.12645
143,"(36.0, 2011)",84.12645
144,"(36.0, 2012)",80.33285
145,"(36.0, 2013)",80.33285
146,"(36.0, 2014)",80.33285
147,"(36.0, 2015)",78.02553
148,"(36.0, 2016)",78.02553
149,"(36.0, 2017)",78.02553
150,"(36.0, 2018)",77.56688
151,"(36.0, 2019)",77.56688
152,"(36.0, 2020)",77.56688
153,"(36.0, 2021)",77.56688
154,"(40.0, 2000)",84.44446
155,"(40.0, 2001)",84.44446
156,"(40.0, 2002)",84.44446
157,"(40.0, 2003)",81.23016
158,"(40.0, 2004)",81.23016
159,"(40.0, 2005)",81.23016
160,"(40.0, 2006)",80.00001
161,"(40.0, 2007)",80.00001
162,"(40.0, 2008)",80.00001
163,"(40.0, 2009)",76.7601
164,"(40.0, 2010)",76.7601
165,"(40.0, 2011)",76.7601
166,"(40.0, 2012)",81.34507
167,"(40.0, 2013)",81.34507
168,"(40.0, 2014)",81.34507
169,"(40.0, 2015)",78.24862
