,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,30,78.9,0.0,95.0,2.05701,1150.81931,1
1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,30,78.9,0.0,100.0,2.05701,1150.81931,1
2,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.6931,216.00083,1
3,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.6931,216.00083,1
4,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,621,31.35022,44.62185,0.0,0.0847,89.4684,1
5,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,621,31.35022,44.62185,0.0,0.0847,89.4684,1
7,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
8,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
9,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
11,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
12,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
13,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
14,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
15,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,20,0.0,0.0,0.0,25.0,10.0,1
16,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
18,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
20,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
23,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
24,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
27,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
28,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,1,0.0,0.0,0.0,25.0,135.45516,0
32,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,57.0,0.40297,140.58063,1
33,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,100.0,0.40297,140.58063,1
35,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
36,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,70.0,0.10901,81.21262,1
37,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,100.0,0.10901,81.21262,1
41,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
42,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
53,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.9,10,0.0,0.0,0.0,0.78577,221.38592,0
58,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
59,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
74,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
75,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
78,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
79,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
80,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
81,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
82,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,40,29.55274,52.88558,50.0,0.20595,10.0,1
83,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,40,29.55274,52.88558,0.0,0.20595,10.0,1
84,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
85,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
86,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
87,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
88,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
89,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,57.0,0.33991,179.50769,1
90,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,100.0,0.33991,179.50769,1
92,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
94,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
95,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
99,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
100,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
101,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,67.0,25.0,10.0,0
102,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
103,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
104,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,21,0.0,0.0,0.0,25.0,10.0,1
105,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
107,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
108,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
112,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
113,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
