,join_key,reading_benchmark_percent
20,"(1.0, 2020)",58.02323
21,"(1.0, 2021)",58.02323
22,"(8.0, 2000)",29.64437
23,"(8.0, 2001)",29.64437
24,"(8.0, 2002)",29.64437
25,"(8.0, 2003)",29.64437
26,"(8.0, 2004)",29.64437
27,"(8.0, 2005)",29.64437
28,"(8.0, 2006)",29.64437
29,"(8.0, 2007)",29.64437
30,"(8.0, 2008)",29.64437
31,"(8.0, 2009)",43.33176
32,"(8.0, 2010)",43.33176
33,"(8.0, 2011)",43.33176
34,"(8.0, 2012)",47.66456
35,"(8.0, 2013)",47.66456
36,"(8.0, 2014)",47.66456
37,"(8.0, 2015)",47.66456
38,"(8.0, 2016)",47.66456
39,"(8.0, 2017)",47.66456
40,"(8.0, 2018)",47.76432
41,"(8.0, 2019)",47.76432
42,"(8.0, 2020)",47.76432
43,"(8.0, 2021)",47.76432
64,"(9.0, 2020)",80.55045
65,"(9.0, 2021)",80.55045
81,"(12.0, 2015)",21.03063
82,"(12.0, 2016)",21.03063
83,"(12.0, 2017)",21.03063
84,"(12.0, 2018)",21.03063
85,"(12.0, 2019)",21.03063
86,"(12.0, 2020)",21.03063
87,"(12.0, 2021)",21.03063
94,"(31.0, 2006)",20.58498
95,"(31.0, 2007)",20.58498
96,"(31.0, 2008)",20.58498
97,"(31.0, 2009)",27.21145
98,"(31.0, 2010)",27.21145
99,"(31.0, 2011)",27.21145
100,"(31.0, 2012)",27.21145
101,"(31.0, 2013)",27.21145
102,"(31.0, 2014)",27.21145
103,"(31.0, 2015)",27.21145
104,"(31.0, 2016)",27.21145
105,"(31.0, 2017)",27.21145
106,"(31.0, 2018)",27.21145
107,"(31.0, 2019)",27.21145
108,"(31.0, 2020)",27.21145
109,"(31.0, 2021)",27.21145
110,"(32.0, 2000)",56.08919
111,"(32.0, 2001)",56.08919
112,"(32.0, 2002)",56.08919
113,"(32.0, 2003)",56.08919
114,"(32.0, 2004)",56.08919
115,"(32.0, 2005)",56.08919
116,"(32.0, 2006)",42.13603
117,"(32.0, 2007)",42.13603
118,"(32.0, 2008)",42.13603
119,"(32.0, 2009)",48.42049
120,"(32.0, 2010)",48.42049
121,"(32.0, 2011)",48.42049
122,"(32.0, 2012)",46.43523
123,"(32.0, 2013)",46.43523
124,"(32.0, 2014)",46.43523
125,"(32.0, 2015)",46.43523
126,"(32.0, 2016)",46.43523
127,"(32.0, 2017)",46.43523
128,"(32.0, 2018)",47.88365
129,"(32.0, 2019)",47.88365
130,"(32.0, 2020)",47.88365
131,"(32.0, 2021)",47.88365
132,"(36.0, 2000)",87.53859
133,"(36.0, 2001)",87.53859
134,"(36.0, 2002)",87.53859
135,"(36.0, 2003)",88.15696
136,"(36.0, 2004)",88.15696
137,"(36.0, 2005)",88.15696
138,"(36.0, 2006)",86.60399
139,"(36.0, 2007)",86.60399
140,"(36.0, 2008)",86.60399
141,"(36.0, 2009)",85.75038
142,"(36.0, 2010)",85.75038
143,"(36.0, 2011)",85.75038
144,"(36.0, 2012)",85.80754
145,"(36.0, 2013)",85.80754
146,"(36.0, 2014)",85.80754
147,"(36.0, 2015)",81.93253
148,"(36.0, 2016)",81.93253
149,"(36.0, 2017)",81.93253
150,"(36.0, 2018)",80.37261
151,"(36.0, 2019)",80.37261
152,"(36.0, 2020)",80.37261
153,"(36.0, 2021)",80.37261
154,"(40.0, 2000)",85.38536
155,"(40.0, 2001)",85.38536
156,"(40.0, 2002)",85.38536
157,"(40.0, 2003)",79.29672
158,"(40.0, 2004)",79.29672
159,"(40.0, 2005)",79.29672
160,"(40.0, 2006)",78.48328
161,"(40.0, 2007)",78.48328
162,"(40.0, 2008)",78.48328
163,"(40.0, 2009)",72.42369
164,"(40.0, 2010)",72.42369
165,"(40.0, 2011)",72.42369
166,"(40.0, 2012)",80.50978
167,"(40.0, 2013)",80.50978
168,"(40.0, 2014)",80.50978
169,"(40.0, 2015)",77.46034
170,"(40.0, 2016)",77.46034
171,"(40.0, 2017)",77.46034
172,"(40.0, 2018)",76.37674
173,"(40.0, 2019)",76.37674
174,"(40.0, 2020)",76.37674
175,"(40.0, 2021)",76.37674
189,"(50.0, 2013)",49.0
190,"(50.0, 2014)",49.0
191,"(50.0, 2015)",54.0
192,"(50.0, 2016)",54.0
193,"(50.0, 2017)",54.0
194,"(50.0, 2018)",54.0
195,"(50.0, 2019)",54.0
196,"(50.0, 2020)",54.0
197,"(50.0, 2021)",54.0
198,"(56.0, 2000)",81.01552
199,"(56.0, 2001)",81.01552
200,"(56.0, 2002)",81.01552
201,"(56.0, 2003)",82.12721
202,"(56.0, 2004)",82.12721
203,"(56.0, 2005)",82.12721
204,"(56.0, 2006)",80.59795
205,"(56.0, 2007)",80.59795
206,"(56.0, 2008)",80.59795
207,"(56.0, 2009)",82.25741
208,"(56.0, 2010)",82.25741
209,"(56.0, 2011)",82.25741
210,"(56.0, 2012)",83.92354
211,"(56.0, 2013)",83.92354
212,"(56.0, 2014)",83.92354
213,"(56.0, 2015)",80.46547
214,"(56.0, 2016)",80.46547
215,"(56.0, 2017)",80.46547
216,"(56.0, 2018)",78.74654
217,"(56.0, 2019)",78.74654
218,"(56.0, 2020)",78.74654
219,"(56.0, 2021)",78.74654
240,"(62.0, 2020)",51.78547
241,"(62.0, 2021)",51.78547
257,"(64.0, 2015)",56.0
258,"(64.0, 2016)",56.0
259,"(64.0, 2017)",56.0
260,"(64.0, 2018)",56.0
261,"(64.0, 2019)",56.0
262,"(64.0, 2020)",56.0
263,"(64.0, 2021)",56.0
282,"(70.0, 2018)",46.32493
283,"(70.0, 2019)",46.32493
284,"(70.0, 2020)",46.32493
285,"(70.0, 2021)",46.32493
286,"(76.0, 2000)",44.20103
287,"(76.0, 2001)",44.20103
288,"(76.0, 2002)",44.20103
289,"(76.0, 2003)",49.99937
290,"(76.0, 2004)",49.99937
291,"(76.0, 2005)",49.99937
292,"(76.0, 2006)",44.49665
293,"(76.0, 2007)",44.49665
294,"(76.0, 2008)",44.49665
295,"(76.0, 2009)",50.44337
296,"(76.0, 2010)",50.44337
297,"(76.0, 2011)",50.44337
298,"(76.0, 2012)",49.22901
299,"(76.0, 2013)",49.22901
300,"(76.0, 2014)",49.22901
301,"(76.0, 2015)",49.00791
302,"(76.0, 2016)",49.00791
303,"(76.0, 2017)",49.00791
304,"(76.0, 2018)",50.04612
305,"(76.0, 2019)",50.04612
306,"(76.0, 2020)",50.04612
307,"(76.0, 2021)",50.04612
326,"(96.0, 2018)",48.19751
327,"(96.0, 2019)",48.19751
328,"(96.0, 2020)",48.19751
329,"(96.0, 2021)",48.19751
330,"(100.0, 2000)",59.6646
331,"(100.0, 2001)",59.6646
332,"(100.0, 2002)",59.6646
333,"(100.0, 2003)",59.6646
334,"(100.0, 2004)",59.6646
335,"(100.0, 2005)",59.6646
336,"(100.0, 2006)",48.92784
337,"(100.0, 2007)",48.92784
338,"(100.0, 2008)",48.92784
339,"(100.0, 2009)",59.01265
340,"(100.0, 2010)",59.01265
341,"(100.0, 2011)",59.01265
342,"(100.0, 2012)",60.60917
343,"(100.0, 2013)",60.60917
344,"(100.0, 2014)",60.60917
345,"(100.0, 2015)",58.53054
346,"(100.0, 2016)",58.53054
347,"(100.0, 2017)",58.53054
348,"(100.0, 2018)",52.8972
349,"(100.0, 2019)",52.8972
350,"(100.0, 2020)",52.8972
351,"(100.0, 2021)",52.8972
370,"(112.0, 2018)",76.58973
371,"(112.0, 2019)",76.58973
372,"(112.0, 2020)",76.58973
373,"(112.0, 2021)",76.58973
389,"(116.0, 2015)",7.50555
390,"(116.0, 2016)",7.50555
391,"(116.0, 2017)",7.50555
392,"(116.0, 2018)",7.50555
393,"(116.0, 2019)",7.50555
394,"(116.0, 2020)",7.50555
395,"(116.0, 2021)",7.50555
396,"(124.0, 2000)",90.44219
397,"(124.0, 2001)",90.44219
398,"(124.0, 2002)",90.44219
399,"(124.0, 2003)",90.46056
400,"(124.0, 2004)",90.46056
401,"(124.0, 2005)",90.46056
402,"(124.0, 2006)",89.04412
403,"(124.0, 2007)",89.04412
404,"(124.0, 2008)",89.04412
405,"(124.0, 2009)",89.71092
406,"(124.0, 2010)",89.71092
407,"(124.0, 2011)",89.71092
408,"(124.0, 2012)",89.10521
409,"(124.0, 2013)",89.10521
410,"(124.0, 2014)",89.10521
411,"(124.0, 2015)",89.31858
412,"(124.0, 2016)",89.31858
413,"(124.0, 2017)",89.31858
414,"(124.0, 2018)",86.24969
415,"(124.0, 2019)",86.24969
416,"(124.0, 2020)",86.24969
417,"(124.0, 2021)",86.24969
434,"(144.0, 2016)",21.27
435,"(144.0, 2017)",21.27
436,"(144.0, 2018)",21.27
437,"(144.0, 2019)",21.27
438,"(144.0, 2020)",21.27
439,"(144.0, 2021)",21.27
440,"(152.0, 2000)",51.83003
441,"(152.0, 2001)",51.83003
442,"(152.0, 2002)",51.83003
443,"(152.0, 2003)",51.83003
444,"(152.0, 2004)",51.83003
445,"(152.0, 2005)",51.83003
446,"(152.0, 2006)",63.74076
447,"(152.0, 2007)",63.74076
448,"(152.0, 2008)",63.74076
449,"(152.0, 2009)",69.43745
450,"(152.0, 2010)",69.43745
451,"(152.0, 2011)",69.43745
452,"(152.0, 2012)",66.98467
453,"(152.0, 2013)",66.98467
454,"(152.0, 2014)",66.98467
455,"(152.0, 2015)",71.61538
456,"(152.0, 2016)",71.61538
457,"(152.0, 2017)",71.61538
458,"(152.0, 2018)",68.27905
459,"(152.0, 2019)",68.27905
460,"(152.0, 2020)",68.27905
461,"(152.0, 2021)",68.27905
478,"(156.0, 2016)",79.6
479,"(156.0, 2017)",79.6
480,"(156.0, 2018)",79.6
481,"(156.0, 2019)",79.6
482,"(156.0, 2020)",79.6
483,"(156.0, 2021)",79.6
490,"(170.0, 2006)",44.29747
491,"(170.0, 2007)",44.29747
492,"(170.0, 2008)",44.29747
493,"(170.0, 2009)",52.88558
494,"(170.0, 2010)",52.88558
