,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,UpperBound,LowerBound,Source,FootNote,Nature,Reporting Type,Sampling Stations,Units
6033,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.094,2010,8.155,8.058,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSMAI | LATITUDE: -42.6 | LONGITUDE: 148.233,C,G,NRSMAI,PH
6034,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.099,2010,8.13,8.039,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSPHB | LATITUDE: -34.12 | LONGITUDE: 151.23,C,G,NRSPHB,PH
6035,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.092,2010,8.111,8.071,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSROT | LATITUDE: -32.0025 | LONGITUDE: 115.402,C,G,NRSROT,PH
6036,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.084,2010,8.124,8.036,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSNSI | LATITUDE: -27.34 | LONGITUDE: 153.56,C,G,NRSNSI,PH
6037,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.063,2010,8.104,8.026,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSYON | LATITUDE: -19.3065 | LONGITUDE: 147.6202,C,G,NRSYON,PH
6038,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2010,8.072,2010,8.108,8.047,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSKAI | LATITUDE: -35.833 | LONGITUDE: 136.433,C,G,NRSKAI,PH
6039,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2011,8.113,2011,8.138,8.072,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSPHB | LATITUDE: -42.6 | LONGITUDE: 148.233,C,G,NRSPHB,PH
6040,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2011,8.090,2011,8.121,8.051,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSROT | LATITUDE: -32.0025 | LONGITUDE: 115.402,C,G,NRSROT,PH
6041,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2011,8.052,2011,8.094,8.014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSYON | LATITUDE: -19.3065 | LONGITUDE: 147.6202,C,G,NRSYON,PH
6042,14,14.3,14.3.1,ER_OAW_MNACD,Average marine acidity (pH) measured at agreed suite of representative sampling stations,36,Australia,2011,8.080,2011,8.099,8.059,Intergovernmental Oceanographic Commission (IOC) of UNESCO,Mooring Name: NRSKAI | LATITUDE: -35.833 | LONGITUDE: 136.433,C,G,NRSKAI,PH
