,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Nature,Reporting Type,Units
18219,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),1,World,2013,1.60097,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18220,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),1,World,2014,1.17048,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18221,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),1,World,2015,1.49465,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18222,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),1,World,2016,0.87372,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18223,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),1,World,2017,0.95307,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18224,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),56,Belgium,2013,0.37339,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18225,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),56,Belgium,2014,0.35534,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18226,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),56,Belgium,2015,0.29857,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18227,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),56,Belgium,2016,0.28028,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18228,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),56,Belgium,2017,0.26589,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18229,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),76,Brazil,2013,0.068,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18230,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),76,Brazil,2014,0.04726,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18231,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),76,Brazil,2015,0.02374,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18232,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),76,Brazil,2016,0.03733,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18233,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),76,Brazil,2017,0.03639,2017,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18234,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),100,Bulgaria,2013,0.0869,2013,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18235,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),100,Bulgaria,2014,0.06631,2014,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18236,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),100,Bulgaria,2015,0.04895,2015,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
18237,14,14.a,14.a.1,ER_RDE_OSEX,National ocean science expenditure as a share of total research and development funding (%),100,Bulgaria,2016,0.05712,2016,Intergovernmental Oceanographic Commission (IOC) of UNESCO,CA,G,PERCENT
