,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Sex,Units
86930,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2007,62.92116,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,FEMALE,PERCENT
86931,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2007,63.03622,2007,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,BOTHSEX,PERCENT
86932,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2008,63.16822,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,BOTHSEX,PERCENT
86933,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2008,63.11818,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,FEMALE,PERCENT
86934,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2008,63.19608,2008,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,MALE,PERCENT
86935,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2009,63.59233,2009,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,BOTHSEX,PERCENT
86936,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2010,64.78101,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,BOTHSEX,PERCENT
86937,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2010,64.80049,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,MALE,PERCENT
86938,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2010,64.74454,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,FEMALE,PERCENT
86939,4,4.2,4.2.2,SE_PRE_PARTN,"Participation rate in organized learning (one year before the official primary entry age), by sex (%)",1,World,2011,66.83368,2011,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,E,G,FEMALE,PERCENT
