,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Sex,Type of skill,Units
94953,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,1.35666,2019,INSTAT (Institute of Statistics),,C,G,FEMALE,PCPR,PERCENT
94954,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,16.12054,2019,Institute of Statistics,,C,G,BOTHSEX,CMFL,PERCENT
94955,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,1.76615,2019,INSTAT (Institute of Statistics),,C,G,MALE,PCPR,PERCENT
94956,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,16.12054,2019,INSTAT (Institute of Statistics),,C,G,BOTHSEX,COPA,PERCENT
94957,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,15.21616,2019,INSTAT (Institute of Statistics),,C,G,MALE,SOFT,PERCENT
94958,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,14.60822,2019,INSTAT (Institute of Statistics),,C,G,FEMALE,COPA,PERCENT
94959,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,8.85291,2019,INSTAT (Institute of Statistics),,C,G,MALE,EPRS,PERCENT
94960,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,9.0473,2019,INSTAT (Institute of Statistics),,C,G,BOTHSEX,EPRS,PERCENT
94961,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,19.99063,2019,INSTAT (Institute of Statistics),,C,G,BOTHSEX,TRAF,PERCENT
94962,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,18.44292,2019,INSTAT (Institute of Statistics),,C,G,FEMALE,TRAF,PERCENT
94963,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,9.24018,2019,INSTAT (Institute of Statistics),,C,G,FEMALE,EPRS,PERCENT
94964,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,17.64465,2019,INSTAT (Institute of Statistics),,C,G,MALE,COPA,PERCENT
94965,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,13.89042,2019,INSTAT (Institute of Statistics),,C,G,BOTHSEX,SOFT,PERCENT
94966,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,12.57493,2019,INSTAT (Institute of Statistics),,C,G,FEMALE,SOFT,PERCENT
94967,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,21.5504,2019,INSTAT (Institute of Statistics),,C,G,MALE,TRAF,PERCENT
94968,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",8,Albania,2019,1.56061,2019,INSTAT (Institute of Statistics),,C,G,BOTHSEX,PCPR,PERCENT
94969,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,21.74442,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,MALE,EMAIL,PERCENT
94970,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,5.80744,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,FEMALE,ARSP,PERCENT
94971,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,20.53361,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,MALE,SOFT,PERCENT
94972,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,9.82373,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,MALE,EPRS,PERCENT
94973,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,4.56856,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,FEMALE,EPRS,PERCENT
94974,4,4.4,4.4.1,SE_ADT_ACTS,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",12,Algeria,2018,22.06094,2018,"Ministry of Post, Telecommunications, Technologies and Digital",,C,G,MALE,INST,PERCENT
