,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,Age,Nature,Reporting Type,Sex,Type of skill,Units
180042,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,74.11966,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,NUME,PERCENT
180043,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,75.75627,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,LITE,PERCENT
180044,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,69.61288,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,NUME,PERCENT
180045,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,75.56926,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,LITE,PERCENT
180046,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,71.86627,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,NUME,PERCENT
180047,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",1,World,2020,75.94328,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,LITE,PERCENT
180048,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,87.31892,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,LITE,PERCENT
180049,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,79.71825,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,BOTHSEX,NUME,PERCENT
180050,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,76.97433,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,NUME,PERCENT
180051,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,82.46217,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,NUME,PERCENT
180052,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,87.10618,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,MALE,LITE,PERCENT
180053,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",9,Oceania,2020,87.53165,2015-2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,16-65,E,G,FEMALE,LITE,PERCENT
180054,4,4.6,4.6.1,SE_ADT_FUNS,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",36,Australia,2012,87.20045,2012,Programme for the International Assessment of Adult Competencies (PIAAC) Data extracted on 13 April 2021.,16-65,C,G,BOTHSEX,LITE,PERCENT
