,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Education level,Nature,Reporting Type,Units
181527,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2015,72.06594,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181528,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2015,64.37437,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181529,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2015,68.36324,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181530,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2016,68.9442,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181531,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2016,64.77868,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181532,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2016,71.9469,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181533,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2017,73.95891,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181534,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2017,65.53155,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181535,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2017,70.63783,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181536,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2018,71.93975,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181537,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2018,65.65685,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181538,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",1,World,2018,75.69824,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181539,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2016,14.05174,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181540,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2016,6.91884,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181541,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2016,2.5548,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181542,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2017,3.07716,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181543,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2017,6.71252,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181544,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2017,12.3866,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181545,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2018,13.09172,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181546,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2018,7.74331,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181547,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",4,Afghanistan,2018,4.63701,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181548,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2017,79.96032,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181549,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",8,Albania,2018,71.02757,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
