,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Education level,Nature,Reporting Type,Sex,Units
197005,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2013,87.96692,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197006,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2013,82.57981,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197007,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2013,85.99527,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197008,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2014,82.81893,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197009,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2014,87.38743,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197010,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2014,85.73669,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197011,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2015,84.54288,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
197012,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2015,86.19793,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197013,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2015,81.54402,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197014,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2016,81.46416,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,MALE,PERCENT
197015,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2016,86.05139,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,FEMALE,PERCENT
197016,4,4.c,4.c.1,SE_TRA_GRDL,"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",1,World,2016,84.44839,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,BOTHSEX,PERCENT
